STORE_NUMBER,STORE_NAME,STORE_NAME_FULL,CITY,STATE,LATITUDE,LONGITUDE,ADDRESS1,ZIP_CODE,L1_CATEGORY,L2_SUBCATEGORY,SERVICE_CODE,SERVICE_NAME,IS_OIL_TRANSACTION,TRANSACTION_COUNT,OFFERS_SERVICE
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Engine Cleaning Service,EF,ENGINE FLUSH SERVICE,1,5,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Engine Treatment,T128,GALLON ENGINE CLEAN ENGINE CLEANER 128oz,1,5,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Fuel System Cleaner,T22G,2 STEP GDI FUEL SYSTEM GDI FUEL SYSTEM CLEANER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Fuel System Cleaner,FSS,FUEL SYSTEM CLEANING,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,High Mileage Treatment,FS3HM,FULL SERVICE PREMIUM SYNTHETIC BLEND WITH HIGH MILEAGE TREATMENT,1,19,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,High Mileage Treatment,T10828,HIGH MILEAGE TREATMENT,1,19,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Oil System Cleaner,T108,OIL SYSTEM CLEANER ENGINE CLEANER 8oz,1,14,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Stop Leak,T1034,UNIVERSAL STOP LEAK ENGINE STOP LEAK,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Conditioning,A/C Service,AC1,BASIC AIR CONDITIONING SERVICE,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Conditioning,A/C Service,R134A,R-134a REFRIGERANT,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C16177,C16177 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C21423,C21423 CABIN AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C21471C,C21471C CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C23147,C23147 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C25836,C25836 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C25858,C25858 CABIN AIR FILTER,1,3,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C25869C,C25869C CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C26176,C26176 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C26205C,C26205C CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C28183,C28183 CABIN AIR FILTER,1,1,1
