STORE_NUMBER,STORE_NAME,CITY,STATE,LATITUDE,LONGITUDE,ADDRESS1,ZIP_CODE,L1_CATEGORY,L2_SUBCATEGORY,SERVICE_CODE,SERVICE_NAME,TRANSACTION_COUNT,OFFERS_SERVICE,BRAND,DMA_CODE,DMA_NAME,STORE_MODEL,PROPOSED_MODEL,REGION_NUM,REGION_VP,DISTRICT_NUM,DISTRICT_MGR
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C38175,C38175 CABIN AIR FILTER,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5642,A5642 AIR FILTER,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5699,A5699 AIR FILTER,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A6119,A6119 AIR FILTER,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A9505,A9505 AIR FILTER,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Battery,Battery Replacement,47H5,47H5 GOLD DH DHGO,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Battery,Starting & Charging,ALRW,alternator,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Differentials,Front Differential,FDS,FRONT DIFFERENTIAL SERVICE,2,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Differentials,Gear Oil,75/90,SAE 75W-90 SYNTHETIC GL5,4,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Differentials,Rear Differential,RDS,REAR DIFFERENTIAL SERVICE,4,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
1,Grease Monkey (ADI) #1,Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Engine,Belts,BLTW,serpentine belt,1,1,Grease Monkey (ADI),751,Denver,QL+,QL,,,,
