STORE_NUMBER,STORE_MODEL,PROPOSED_MODEL
8036,QL++,QL+
1029,QL+,QL
8035,QL,QL
8037,QL,QL
2003,FS,FS
8049,QL++,FS
2004,FS,FS
8140,QL++,FS
8114,QL,QL
8139,QL++,FS
743,QL+,QL+
8131,QL++,FS
796,QL+,QL+
382,QL++,FS
967,QL+,QL+
1504,QL+,QL+
8145,QL+,QL+
2002,FS,FS
1011,QL+,QL+
8008,QL,QL
8057,QL+,QL+
201,QL+,QL+
951,QL+,QL+
8144,QL+,QL+
3053,QL++,FS
8112,QL,QL
8026,QL,QL
868,QL+,QL+
1024,QL+,QL+
8030,QL,QL
8128,QL++,FS
8143,QL++,QL+
3021,QL+,QL+
1020,QL+,QL+
8061,QL,QL
1028,QL+,QL+
972,QL+,QL+
8014,QL,QL
8098,QL+,QL+
1012,QL+,QL+
476,QL+,QL+
561,QL,QL
987,QL+,QL+
8118,QL+,QL
3006,QL,QL
8041,QL,QL
156,QL++,QL+
146,QL++,QL+
812,QL+,QL+
636,QL+,QL+
1025,QL+,QL+
8018,QL,QL
1018,QL+,QL+
3052,QL,QL
649,QL+,QL+
1013,QL+,QL+
8101,QL,QL
8531,QL+,QL+
34,QL,QL
3007,QL,QL
1075,QL+,QL+
8601,QL,QL
936,QL+,QL
8321,QL+,QL+
1324,FS,FS
183,QL+,QL+
8001,QL,QL
805,QL+,QL+
710,QL+,QL+
315,QL+,QL+
8009,QL,QL
8043,QL,QL
1019,QL+,QL+
8125,QL+,QL+
147,QL+,QL+
8134,QL+,QL+
8099,QL+,QL+
8055,QL+,QL+
3016,QL,QL
3004,QL,QL
8251,QL++,QL+
8042,QL,QL
1044,QL+,QL+
1037,QL+,QL+
3022,QL++,QL+
8492,QL+,QL+
599,QL+,QL
143,QL+,QL+
8016,QL,QL
1035,QL+,QL+
8065,QL,QL
8138,QL+,QL+
145,QL+,QL+
8481,QL+,QL+
8060,QL,QL
560,QL+,QL+
8059,QL,QL+
8204,QL+,QL+
8331,QL,QL
8137,QL++,FS
1186,QL+,QL+
803,QL+,QL+
8058,QL,QL
2082,QL+,QL+
8006,QL,QL
38,QL+,QL+
1041,QL+,QL+
8021,QL,QL
1045,QL+,QL+
8147,QL+,QL+
1043,QL+,QL+
3014,QL+,QL+
1034,QL+,QL+
8132,QL++,QL+
8142,QL+,QL+
8605,QL+,QL+
888,QL+,QL+
1040,QL+,QL+
8022,QL,QL
8127,QL+,QL+
1015,QL+,QL+
8129,QL++,QL+
8305,QL+,QL+
8100,FS,FS
8532,QL+,QL+
1032,QL+,QL
708,QL+,QL+
8211,QL,QL
8124,QL++,QL+
141,QL+,QL+
8029,QL,QL
733,QL+,QL
42,QL+,QL
180,QL+,QL+
2001,FS,FS
186,QL+,QL+
8007,QL,QL
8119,QL+,QL+
8115,QL+,QL+
200,QL+,QL+
8103,QL,QL
8126,QL+,QL+
8040,QL+,QL+
1071,QL+,QL
8054,QL+,QL
606,QL+,QL
3051,QL,QL
1023,QL+,QL+
144,QL+,QL+
1027,QL+,QL+
1,QL+,QL
3055,QL,QL
1026,QL+,QL+
8482,QL+,QL
1017,QL+,QL+
8107,QL+,QL+
205,QL+,QL+
8062,QL+,QL+
8047,QL++,QL+
937,QL+,QL
172,QL+,QL+
8441,QL,QL
8341,QL,QL
8003,QL,QL
8165,QL+,QL+
8308,QL+,QL+
8048,FS,FS
8208,QL+,QL+
8050,QL+,QL+
3010,QL,QL
826,QL+,QL+
175,QL+,QL+
1039,QL+,QL+
8491,QL,QL
179,QL+,QL+
8712,QL+,QL+
1046,QL+,QL+
687,QL+,QL
8205,QL+,QL+
142,QL+,QL
8133,QL++,QL+
922,QL+,QL+
8117,QL,QL
8005,QL,QL
8533,QL,QL
499,QL,QL
660,QL+,QL+
8148,QL++,QL+
8011,QL,QL
8111,QL,QL
167,QL+,QL+
8015,QL,QL
8064,QL,QL
981,QL,QL
8146,QL++,QL+
190,QL+,QL
8711,QL,QL
8063,QL+,QL+
8130,QL,QL
2000,FS,FS
8044,QL+,QL+
8203,QL,QL
208,QL+,QL
2070,QL+,QL+
8010,QL,QL
8120,QL+,QL+
1042,QL+,QL+
8039,QL+,QL+
477,QL,QL
1070,QL+,QL+
3057,QL,QL
526,QL+,QL+
1132,QL+,QL+
8046,QL+,QL+
3024,QL+,QL+
8421,QL,QL
8051,QL++,QL+
8109,QL+,QL+
8045,QL+,QL+
8304,QL+,QL+
1030,QL+,QL+
1072,QL+,QL+
8301,QL+,QL+
8411,QL,QL
8108,QL+,QL+
8004,QL,QL
8535,QL,QL
8027,QL,QL
1074,QL+,QL+
1036,QL+,QL+
69,QL+,QL
8024,QL,QL
8104,QL,QL
8801,QL,QL
3056,QL,QL
8066,QL,QL
8028,QL,QL
8116,QL+,QL+
8113,QL+,QL+
8122,QL++,QL+
8135,QL++,QL+
3054,QL+,QL
8703,QL+,QL+
8303,QL,QL
8123,QL++,QL+
8013,QL,QL
202,QL+,QL
8141,QL,QL
8608,QL+,QL
8210,QL++,QL+
3008,QL+,QL
8052,QL+,QL+
8012,QL,QL
8095,QL+,QL
8802,QL+,QL
8025,QL,QL
8611,QL+,QL+
8019,QL,QL
1128,QL+,QL+
177,QL+,QL+
159,QL+,QL+
8306,QL,QL
8136,QL+,QL+
8602,QL,QL
187,QL+,QL+
8163,QL+,QL+
8094,QL+,QL+
8149,QL+,QL+
181,QL+,QL+
8603,QL,QL
1076,QL+,QL+
1502,QL+,QL+
8023,QL,QL
8105,QL,QL
8067,QL,QL
8307,QL,QL
8068,QL,QL
8097,QL,QL
8606,QL,QL
8607,QL,QL
8020,QL,QL
8017,QL,QL
8106,QL+,QL+
2005,EM,EM
8153,QL,QL
8152,QL+,QL+
